,MONTHS_BALANCE,HIGH_DELAY,LOW_DELAY,OVERDUE,PAID,All,HIGH_DELAY_%,LOW_DELAY_%,OVERDUE_%,PAID_%
0,-60,0,230,0,1,231,0.0,99.567,0.0,0.433
1,-59,0,541,0,9,550,0.0,98.364,0.0,1.636
2,-58,0,861,0,24,885,0.0,97.288,0.0,2.712
3,-57,0,1137,0,52,1189,0.0,95.627,0.0,4.373
4,-56,2,1444,0,91,1537,0.13,93.949,0.0,5.921
5,-55,3,1756,0,148,1907,0.157,92.082,0.0,7.761
6,-54,5,1993,0,230,2228,0.224,89.452,0.0,10.323
7,-53,7,2279,3,318,2607,0.269,87.418,0.115,12.198
8,-52,8,2562,3,435,3008,0.266,85.173,0.1,14.461
9,-51,13,2843,4,558,3418,0.38,83.177,0.117,16.325
10,-50,20,3130,5,688,3843,0.52,81.447,0.13,17.903
11,-49,24,3369,4,872,4269,0.562,78.918,0.094,20.426
12,-48,22,3595,10,1063,4690,0.469,76.652,0.213,22.665
13,-47,23,3801,12,1294,5130,0.448,74.094,0.234,25.224
14,-46,21,3970,12,1508,5511,0.381,72.038,0.218,27.363
15,-45,19,4116,14,1782,5931,0.32,69.398,0.236,30.046
16,-44,25,4303,12,2023,6363,0.393,67.625,0.189,31.793
17,-43,26,4471,13,2257,6767,0.384,66.071,0.192,33.353
18,-42,21,4722,17,2515,7275,0.289,64.907,0.234,34.57
19,-41,32,4921,18,2826,7797,0.41,63.114,0.231,36.245
20,-40,31,5044,19,3100,8194,0.378,61.557,0.232,37.833
21,-39,22,5360,21,3440,8843,0.249,60.613,0.237,38.901
22,-38,22,5500,27,3783,9332,0.236,58.937,0.289,40.538
23,-37,24,5797,25,4070,9916,0.242,58.461,0.252,41.045
24,-36,25,5929,26,4379,10359,0.241,57.235,0.251,42.272
25,-35,22,6189,24,4732,10967,0.201,56.433,0.219,43.148
26,-34,24,6316,27,5056,11423,0.21,55.292,0.236,44.262
27,-33,22,6413,26,5432,11893,0.185,53.922,0.219,45.674
28,-32,23,6511,25,5781,12340,0.186,52.763,0.203,46.848
29,-31,26,6668,27,6167,12888,0.202,51.738,0.209,47.851
30,-30,29,6741,27,6543,13340,0.217,50.532,0.202,49.048
31,-29,19,6946,30,6851,13846,0.137,50.166,0.217,49.48
32,-28,20,6896,25,7259,14200,0.141,48.563,0.176,51.12
33,-27,26,7167,29,7615,14837,0.175,48.305,0.195,51.324
34,-26,31,7183,29,7983,15226,0.204,47.176,0.19,52.43
35,-25,29,7521,29,8363,15942,0.182,47.177,0.182,52.459
36,-24,23,7651,33,8743,16450,0.14,46.511,0.201,53.149
37,-23,25,7958,30,9145,17158,0.146,46.381,0.175,53.299
38,-22,25,8137,30,9484,17676,0.141,46.034,0.17,53.655
39,-21,32,8208,34,9894,18168,0.176,45.178,0.187,54.458
40,-20,19,8434,37,10276,18766,0.101,44.943,0.197,54.759
41,-19,32,8501,39,10639,19211,0.167,44.251,0.203,55.38
42,-18,41,8623,36,11011,19711,0.208,43.747,0.183,55.862
43,-17,29,8813,39,11451,20332,0.143,43.345,0.192,56.32
44,-16,24,8964,45,11850,20883,0.115,42.925,0.215,56.745
45,-15,27,9023,50,12196,21296,0.127,42.369,0.235,57.269
46,-14,32,9210,52,12517,21811,0.147,42.226,0.238,57.388
47,-13,31,9330,48,12963,22372,0.139,41.704,0.215,57.943
48,-12,21,9533,53,13332,22939,0.092,41.558,0.231,58.119
49,-11,23,9629,50,13693,23395,0.098,41.158,0.214,58.53
50,-10,19,9791,48,14048,23906,0.079,40.956,0.201,58.763
51,-9,32,9835,46,14422,24335,0.131,40.415,0.189,59.264
52,-8,35,10052,42,14811,24940,0.14,40.305,0.168,59.387
53,-7,30,10367,44,15220,25661,0.117,40.4,0.171,59.312
54,-6,34,10588,48,15630,26300,0.129,40.259,0.183,59.43
55,-5,38,10884,54,16015,26991,0.141,40.325,0.2,59.335
56,-4,34,10870,54,16403,27361,0.124,39.728,0.197,59.95
57,-3,42,10923,54,16784,27803,0.151,39.287,0.194,60.368
58,-2,33,10765,57,17139,27994,0.118,38.455,0.204,61.224
59,-1,34,10673,62,17504,28273,0.12,37.75,0.219,61.911
60,0,30,9223,65,17613,26931,0.111,34.247,0.241,65.4
